Timestep,UF3/UF4 Ratio
0,2.4402622213e-06
1,6.5862306259e-22
2,7.4557589354e-22
3,7.7826443176e-22
4,7.7883238634e-22
5,7.6573811721e-22
6,7.4963804489e-22
7,7.3260150725e-22
8,7.1590175511e-22
9,7.0020612247e-22
10,6.8591419187e-22
11,6.7273290599e-22
12,6.6069513023e-22
13,6.4965799711e-22
14,6.3953666774e-22
15,6.3037201745e-22
16,6.2185090009e-22
17,6.1404618907e-22
18,6.0684451649e-22
19,6.0021852410e-22
20,5.9401781617e-22
21,5.8811296846e-22
22,5.8267971057e-22
23,5.7764611297e-22
24,5.7287090123e-22
26,5.6411812472e-22
28,5.5636659735e-22
29,5.5274291809e-22
30,5.4932271406e-22
31,5.4604224609e-22
32,5.4290259088e-22
33,5.3995720754e-22
34,5.3710540103e-22
35,5.3441659723e-22
36,5.3183282067e-22
37,5.2935989204e-22
38,5.2694805905e-22
39,5.2469062495e-22
40,5.2249473554e-22
41,5.2039960024e-22
42,5.1834624695e-22
43,5.1641981607e-22
44,5.1450581370e-22
45,5.1265573963e-22
46,5.1089737794e-22
47,5.0921652029e-22
48,5.0755516581e-22
49,5.0599888505e-22
50,5.0441741714e-22
51,5.0287389310e-22
52,5.0141616020e-22
53,4.9999212394e-22
55,4.9730825157e-22
56,4.9599717427e-22
57,4.9475125437e-22
58,4.9354662000e-22
59,4.9237035039e-22
60,4.9123831161e-22
61,4.9011806868e-22
62,4.8903776074e-22
63,4.8798644087e-22
64,4.8692248939e-22
65,4.8590430499e-22
66,4.8492138878e-22
67,4.8396333717e-22
68,4.8301782306e-22
69,4.8209890795e-22
70,4.8119961428e-22
72,4.7941536713e-22
73,4.7855905343e-22
74,4.7766991649e-22
75,4.7688271989e-22
77,4.7530077035e-22
78,4.7453165191e-22
79,4.7380300945e-22
81,4.7232601667e-22
82,4.7163841122e-22
83,4.7095808968e-22
84,4.7025773665e-22
85,4.6959982695e-22
86,4.6893504490e-22
87,4.6829555257e-22
89,4.6704410779e-22
90,4.6642570279e-22
91,4.6581311924e-22
92,4.6521446502e-22
93,4.6463574843e-22
94,4.6405578064e-22
95,4.6350819816e-22
96,4.6294154711e-22
97,4.6238983839e-22
98,4.6187154069e-22
102,4.5981946962e-22
104,4.5882942638e-22
108,4.5696413409e-22
109,4.5649482657e-22
110,4.5609007151e-22
111,4.5564680371e-22
112,4.5517021100e-22
114,4.5436977651e-22
115,4.5395380829e-22
116,4.5350255960e-22
117,4.5314939348e-22
118,4.5277235517e-22
119,4.5241207494e-22
121,4.5162721123e-22
122,4.5123334935e-22
123,4.5087849680e-22
124,4.5052650733e-22
125,4.5016782319e-22
126,4.4979606256e-22
127,4.4943133655e-22
128,4.4912158740e-22
129,4.4875406586e-22
130,4.4848678949e-22
131,4.4812711269e-22
132,4.4775289404e-22
133,4.4747523897e-22
134,4.4713727438e-22
135,4.4680393653e-22
136,4.4652544950e-22
138,4.4591288475e-22
139,4.4561843197e-22
140,4.4530545817e-22
141,4.4504509017e-22
142,4.4470716529e-22
143,4.4442133487e-22
144,4.4419306949e-22
145,4.4389169829e-22
146,4.4362801156e-22
147,4.4330657879e-22
148,4.4307578106e-22
149,4.4282197228e-22
150,4.4259454162e-22
151,4.4230978598e-22
152,4.4203734070e-22
153,4.4174021262e-22
154,4.4151946315e-22
155,4.4127301228e-22
156,4.4105946176e-22
157,4.4077581148e-22
158,4.4055315131e-22
160,4.4013275286e-22
161,4.3986958479e-22
163,4.3938001303e-22
164,4.3920273835e-22
165,4.3895392107e-22
166,4.3873701580e-22
167,4.3846508209e-22
168,4.3830323158e-22
169,4.3811137222e-22
171,4.3766862558e-22
172,4.3743011091e-22
173,4.3726896441e-22
175,4.3681395612e-22
176,4.3657753158e-22
177,4.3641241184e-22
178,4.3622998649e-22
180,4.3581204885e-22
181,4.3563787223e-22
183,4.3523072576e-22
184,4.3505159343e-22
187,4.3457763441e-22
189,4.3416994145e-22
192,4.3364779630e-22
194,4.3329150921e-22
198,4.3262567443e-22
200,4.3236068316e-22
201,4.3221824228e-22
202,4.3207556074e-22
204,4.3169194006e-22
205,4.3159517451e-22
207,4.3126362322e-22
208,4.3109702720e-22
209,4.3096798552e-22
210,4.3085024354e-22
211,4.3066185486e-22
212,4.3051918113e-22
213,4.3039217141e-22
214,4.3025702985e-22
215,4.3012613832e-22
216,4.2998008982e-22
217,4.2984720321e-22
218,4.2967171123e-22
219,4.2957691755e-22
220,4.2939487884e-22
221,4.2929625920e-22
222,4.2911788276e-22
223,4.2902440764e-22
225,4.2823556441e-22
228,4.2752032024e-22
229,4.2739287905e-22
231,4.2687999619e-22
232,4.2665521142e-22
235,4.2601822429e-22
237,4.2556151597e-22
238,4.2539885658e-22
240,4.2494586969e-22
243,4.2424142614e-22
249,4.2315070208e-22
250,4.2298654058e-22
